artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Taylor Swift;Wildest Dreams;220440;2014;140.06;pop;0.664;8;-7.417
Selena Gomez;Kill Em With Kindness;217906;2015;120.012;pop;0.884;10;-5.488
Cashmere Cat;Miss You (with Major Lazer & Tory Lanez);186231;2018;100.028;pop, rock;0.641;1;-4.502
Charlie Puth;Attention;211475;2017;100.041;pop;0.626;3;-4.432
Zara Larsson;Never Forget You;213427;2017;145.992;pop, Dance/Electronic;0.732;11;-5.728
Gigi D'Agostino;The Riddle;285426;1999;127.002;pop;0.876;6;-6.87
Lupe Fiasco;Superstar (feat. Matthew Santos);289000;2007;94.812;hip hop, pop;0.822;11;-6.015
Kendrick Lamar;LOVE. FEAT. ZACARI.;213400;2017;126.058;hip hop;0.585;10;-7.343
Twenty One Pilots;Heathens;195920;2016;90.024;rock;0.396;4;-9.348
U2;Sometimes You Can't Make It On Your Own;305080;2004;96.0;World/Traditional, rock;0.597;2;-5.652
JAY-Z;Dirt Off Your Shoulder;245173;2003;163.971;hip hop;0.655;1;-7.147
Delta Goodrem;Born to Try;251280;2003;133.838;pop;0.589;8;-6.813
Maroon 5;"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";201493;2010;128.044;pop;0.761;11;-4.459
Jessie J;Domino;231840;2011;126.986;hip hop, pop;0.557;7;-4.568
Robyn;With Every Heartbeat;254920;2005;120.872;pop, Dance/Electronic;0.865;4;-4.462
Swedish House Mafia;Save The World;213337;2011;126.879;pop, Dance/Electronic;0.665;0;-7.598
Sean Paul;She Doesn't Mind;227786;2012;120.015;hip hop, pop;0.776;7;-5.208
Zedd;I Want You To Know;238800;2015;130.003;hip hop, pop, Dance/Electronic;0.877;9;-2.215
September;Cry for You;209800;2007;130.018;pop, Dance/Electronic;0.881;9;-3.988
Christina Perri;human;250706;2013;143.808;pop;0.489;8;-6.286
WILLOW;Wait a Minute!;196520;2015;101.003;pop, R&B, Dance/Electronic;0.705;3;-5.279
Ashanti;Happy;262226;2002;89.488;hip hop, pop, R&B;0.515;2;-6.553
Afroman;Because I Got High;197760;2001;166.01;hip hop;0.341;7;-8.56
Flo Rida;My House;192190;2015;94.006;hip hop, pop;0.702;7;-4.792
Philip George;Wish You Were Mine - Radio Edit;177560;2014;123.002;pop, Dance/Electronic;0.832;7;-4.164
Chamillionaire;Ridin';303053;2005;143.052;hip hop, pop;0.799;8;-4.68
Nelly;Grillz;271160;2005;82.996;hip hop, pop, R&B;0.504;4;-7.737
The Pussycat Dolls;Don't Cha;272080;2005;120.003;pop, R&B;0.631;1;-3.475
